Date,Type,,Name,Location,State,Area,Wall / Boulder,Link,Grade,,,Danger,Status,,Protection,A.,Notes,Rating,Felt,Suggested
8/20/2022,Boulder,stinson-beach-little-wing-(sit),Little Wing (Sit),Stinson Beach,CA,Stinson Beach,Are You Experienced Boulder,Mountain Project,V8,7b,46,-,Attempt,FALSE,Pads,,"Attempted, but no chance. Couldn't pull hard enough on the heel. Doubt I could hold the upper holds and the scary top out.",,,V8
8/20/2022,Boulder,stinson-beach-standard-route,Standard Route,Stinson Beach,CA,Stinson Beach,Are You Experienced Boulder,Mountain Project,V3,6a,21,-,Attempt,FALSE,Pads,,"Attempted, couldn't find a more secure way to make the moves.",,,V3
9/14/2022,Route,castle-rock-state-park-south-face,South Face,Castle Rock State Park,CA,Indian Rock,Indian Rock,Mountain Project,5.8+,5b,15,-,Onsight,FALSE,Bolts,,First lead experience and outdoor roped climbing. Was given a very short demo and didn't realize clipping above my head on the second bolt was a ground fall risk. Glad I didn't fall.,,,5.8+
9/17/2022,Boulder,stinson-beach-v3/5.11,V3/5.11,Stinson Beach,CA,Stinson Beach,Old Man Boulder,Mountain Project,V3,6a,21,-,Attempt,FALSE,Pads,,Attempted to boulder. Couldn't get past move following foot cut. Holds at start are very sloppy.,,,V3
9/17/2022,Boulder,stinson-beach-standard-route,Standard Route,Stinson Beach,CA,Stinson Beach,Are You Experienced Boulder,Mountain Project,V3,6a,21,-,Attempt,FALSE,Pads,,"Attempted, wasn't feeling the route and missed all the slots.",,,V3
9/23/2022,Route,eagles-rest-trailhead---upper-tapestry-in-motion,Tapestry in Motion,Eagles Rest Trailhead - Upper,OR,The Studio,The Studio,Mountain Project,5.11a,6c,30,-,Hung,FALSE,Bolts,,"Attempted. Moves felt fine but difficult, couldn't manage pump for the full route.",,,5.11a
9/23/2022,Route,eagles-rest-trailhead---upper-webs-of-connection,Webs of Connection,Eagles Rest Trailhead - Upper,OR,Overstory Wall,Overstory Wall,Mountain Project,5.9,5c,17,-,Top Roped,FALSE,TR,,First experience with outdoor Oregon climbing. Nice and easy climb.,,,5.9
9/23/2022,Route,eagles-rest-trailhead---upper-the-overstory,The Overstory,Eagles Rest Trailhead - Upper,OR,Overstory Wall,Overstory Wall,Mountain Project,5.8,5b,14,-,Top Roped,FALSE,TR,,First experience with outdoor Oregon climbing. Nice and easy climb.,,,5.8
9/23/2022,Route,eagles-rest-trailhead---upper-illusions,Illusions,Eagles Rest Trailhead - Upper,OR,The Studio,The Studio,Mountain Project,5.10b,6a+,23,-,Hung,FALSE,Bolts,,"Great route, love the first boulder problem, and the chimney is a breeze. Lean back and enjoy it.",,,5.10b
9/23/2022,Route,eagles-rest-trailhead---upper-bohemian-slab-city,Bohemian Slab City,Eagles Rest Trailhead - Upper,OR,Upper Vista Wall,Upper Vista Wall,Mountain Project,5.9,5c,17,-,Top Roped,FALSE,TR,,Favorite route at eagles rest. Easy yet interesting slab movement with plenty of tiny but bomber edges. Great view from the top. Absolutely have to come back and send this each time.,,,5.9
10/1/2022,Route,eagles-rest-trailhead---upper-fourteen-days,Fourteen Days,Eagles Rest Trailhead - Upper,OR,Quarintine Wall,Quarintine Wall,Mountain Project,5.11a,6c,30,-,Hung,FALSE,Bolts,,TR. Attempted. First attempt at the route on top rope. Felt out all the moves and hung a bit.,,,5.11a
10/1/2022,Route,eagles-rest-trailhead---upper-curbside-stickup,Curbside Stickup,Eagles Rest Trailhead - Upper,OR,Quarintine Wall,Quarintine Wall,Mountain Project,5.10c,6b,26,-,Hung,FALSE,Bolts,,"Climbed the top rope section without stemming, a really interesting problem. The end has a slopy crux.",,,5.10c
10/1/2022,Route,eagles-rest-trailhead---upper-tapestry-in-motion,Tapestry in Motion,Eagles Rest Trailhead - Upper,OR,The Studio,The Studio,Mountain Project,5.11a,6c,30,-,Hung,FALSE,Bolts,,Attempted. Started projecting the route a bit more seriously. Could almost get to the top before the pump got too much and my fingers let go on their own. Need more endurance.,,,5.11a
10/1/2022,Route,eagles-rest-trailhead---upper-illusions,Illusions,Eagles Rest Trailhead - Upper,OR,The Studio,The Studio,Mountain Project,5.10b,6a+,23,-,Lead,TRUE,Bolts,,"Terrifying to lead and not quite ready to take a whip yet. Completely death gripped everything, took a long ass time. Boulder problem felt a lot easier though.",,,5.10b
10/5/2022,Boulder,the-garden-climbing-bag-of-tricks,Bag of Tricks,The Garden Climbing,OR,Garden Main,Azain Boulder,Mountain Project,V3,6a,21,-,Sent,TRUE,Pads,,"Felt great, loved the rockover. Easy top out on Gumby.",,,V3
10/5/2022,Boulder,the-garden-climbing-daryl-philbin,Daryl Philbin,The Garden Climbing,OR,Garden Main,Office Boulder,Mountain Project,V1-2,5,15,-,Sent,TRUE,Pads,,"Holds up top felt great, but tall with some boulders on the ground though. I added traverse.",,,V1-2
10/5/2022,Boulder,the-garden-climbing-the-gumby-slab-dyno,The Gumby Slab Dyno,The Garden Climbing,OR,Garden Main,Garden Main,Mountain Project,V0,4,7,-,Sent,TRUE,Pads,,Very nice rail and no issue. A bit contrived as the route without a dump is pretty simple but anytime there's a jug it's worth jumping to.,,,V0
10/5/2022,Boulder,the-garden-climbing-gumby-slab,Gumby Slab,The Garden Climbing,OR,Garden Main,Garden Main,Mountain Project,V1,5,13,-,Flash,TRUE,Pads,,A few fun ways to do this. Bummer the jug rail in the middle is so good no matter what you do the route is easy. Fun to try dynoing to it from different positions.,,,V1
10/5/2022,Boulder,"the-garden-climbing-the-good-v3-(left-side,-strong-side)","The Good V3 (Left Side, Strong Side)",The Garden Climbing,OR,Garden Main,The Good Boulder,Mountain Project,V3,6a,21,-,Flash,TRUE,Pads,,"Big dynamic move to an okay hold, I got lucky and held it to a sketchy feeling end.",,,V3
10/9/2022,Route,eagles-rest-trailhead---upper-bohemian-slab-city,Bohemian Slab City,Eagles Rest Trailhead - Upper,OR,Upper Vista Wall,Upper Vista Wall,Mountain Project,5.9,5c,17,-,Attempt,FALSE,Bolts,,"Attempted lead, redpoint top rope. Couldn't get past crux, bad mental on top of a wasps nest. Got stuck unsure of the moves. Attempted moves but got stuck. Went back up on top rope and flowed past the section. Beautiful sunlight with smoke in the air gave sunset light the whole day.",,,5.9
10/9/2022,Route,eagles-rest-trailhead---upper-fourteen-days,Fourteen Days,Eagles Rest Trailhead - Upper,OR,Quarintine Wall,Quarintine Wall,Mountain Project,5.11a,6c,30,-,Hung,FALSE,Bolts,,"Attempted. Further attempts at feeling out the moves on the route, getting ready for an official send.",,,5.11a
10/9/2022,Route,eagles-rest-trailhead---upper-by-myself,By Myself,Eagles Rest Trailhead - Upper,OR,Quarintine Wall,Quarintine Wall,Mountain Project,5.11a,6c,30,-,Hung,FALSE,Bolts,,Attempted. Tried out the moves after less success on Fourteen days. Felt like the moves were a lot more stable.,,,5.11a
10/9/2022,Route,eagles-rest-trailhead---upper-curbside-stickup,Curbside Stickup,Eagles Rest Trailhead - Upper,OR,Quarintine Wall,Quarintine Wall,Mountain Project,5.10c,6b,26,-,Hung,FALSE,Bolts,,Too intimidated by the ledge to the right to attempt lead of route. Top roped it instead.,,,5.10c
10/9/2022,Route,eagles-rest-trailhead---upper-illusions,Illusions,Eagles Rest Trailhead - Upper,OR,The Studio,The Studio,Mountain Project,5.10b,6a+,23,-,Hung,FALSE,Bolts,,A quick repeat of the route. Love the beginning boulder.,,,5.10b
10/9/2022,Route,eagles-rest-trailhead---upper-tapestry-in-motion,Tapestry in Motion,Eagles Rest Trailhead - Upper,OR,The Studio,The Studio,Mountain Project,5.11a,6c,30,-,Hung,FALSE,Bolts,,"Attempt. Another day of attempting the route. This time tried lead climbing it, didn't have the mental or stamina to complete.",,,5.11a
11/10/2022,Boulder,the-garden-climbing-octernal,Octernal,The Garden Climbing,OR,Garden Main,Meth Lab Boulder,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,"Attempt. Only tried sit start a few times, focused on beta for stand.",,,V7
11/10/2022,Boulder,the-garden-climbing-octernal-stand,Octernal Stand,The Garden Climbing,OR,Garden Main,Meth Lab Boulder,Mountain Project,V5,6c,31,-,Attempt,FALSE,Pads,,"Attempt. Only tried sit start a few times, focused on beta for stand.",,,V5
11/12/2022,Route,smith-rock-state-park-nine-gallon-buckets,Nine Gallon Buckets,Smith Rock State Park,OR,Morning Glory Wall,Morning Glory Wall,Mountain Project,5.10c,6b,26,-,Top Roped,FALSE,TR,,"Littler harder than it's neighbor, use of two finger pockets is fine, but my fingers were frozen and I couldn't feel if my fingers were inside. Opted for top rope.",,,5.10c
11/12/2022,Route,smith-rock-state-park-the-outsiders,The Outsiders,Smith Rock State Park,OR,Morning Glory Wall,Morning Glory Wall,Mountain Project,5.9,5c,17,-,Top Roped,FALSE,TR,,"Couldn't feel my fingers, but holds are absolute jugs, but require some strong moves in awkward positions. Love it.",,,5.9
11/12/2022,Route,smith-rock-state-park-5-gallon-buckets,5 Gallon Buckets,Smith Rock State Park,OR,Morning Glory Wall,Morning Glory Wall,Mountain Project,5.8,5b,14,-,Lead,TRUE,Bolts,,Nice and easy with giant jug buckets. Big enough to get inside of. Little sketched out about whipping into them. But holds run up all the way. Super popular and a busy line.,,,5.8
11/16/2022,Boulder,the-garden-climbing-bitchin'-corners-sit,Bitchin' Corners Sit,The Garden Climbing,OR,Garden Main,Bitchin' Corners Boulder,Mountain Project,V6,7a,38,-,Attempt,FALSE,Pads,,Attempted. Lower section felt powerful but was able to get to the higher crimps. Would prefer more pads for top out.,,,V6
11/16/2022,Route,the-garden-climbing-slithering-skink,Slithering Skink,The Garden Climbing,OR,Garden Cliffs,Garden Cliffs,Mountain Project,5.10d,6b+,29,-,Hung,FALSE,Bolts,,,,,5.10d
11/16/2022,Boulder,the-garden-climbing-the-ear,The Ear,The Garden Climbing,OR,Garden Main,Fight Club Boulder,Mountain Project,V4,6b,25,-,Attempt,FALSE,Pads,,"Didn't put too many attempts, but struggled with the right start heel, and getting up to the right if that was beta. Would love to figure it out.",,,V4
11/16/2022,Boulder,the-garden-climbing-octernal-stand,Octernal Stand,The Garden Climbing,OR,Garden Main,Meth Lab Boulder,Mountain Project,V5,6c,31,-,Sent,TRUE,Pads,,V5 Standing Start. I prefer some shitty feet just to control swings. Campus end pumped me out so I had to beach whale the end. Lightning crimp is my favorite part but hurts a lot.,,,V5
11/20/2022,Boulder,carver-climbing-club-objection-(desperate-warmup/legal-system),Objection (Desperate Warmup/Legal System),Carver Climbing Club,OR,Bonsai Boulders,Wave Boulder,Mountain Project,V2,5+,17,-,Sent,TRUE,Pads,,Sent with some thoughtful feet to make the holds good.,,,V2
11/20/2022,Boulder,carver-climbing-club-red-meat-ma'am,Red Meat Ma'am,Carver Climbing Club,OR,Bonsai Boulders,Sugar Cube,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,"Attempted for giggles, no chance.",,,V7
11/20/2022,Boulder,carver-climbing-club-leaner,Leaner,Carver Climbing Club,OR,Bonsai Boulders,Sugar Cube,Mountain Project,V3+,6a+,22,-,Attempt,FALSE,Pads,,Attempted. Makes no sense.,,,V3+
11/20/2022,Boulder,carver-climbing-club-lowrider,Lowrider,Carver Climbing Club,OR,Bonsai Boulders,Cracked Block,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,"Attempted for giggles. Could hold the first move, dare not go further. Looks like a blast minus finger jam betas.",,,V7
11/20/2022,Boulder,carver-climbing-club-up-she-goes,Up She Goes,Carver Climbing Club,OR,Bonsai Boulders,Enforcement Boulder,Mountain Project,V2,5+,17,-,Flash,TRUE,Pads,,"Great warmup, arete is a jug. Struggled with beta but stayed on and finished.",,,V2
11/20/2022,Boulder,carver-climbing-club-gut-crunch,Gut Crunch,Carver Climbing Club,OR,Bonsai Boulders,Gut Crunch,Mountain Project,V5,6c,31,-,Attempt,FALSE,Pads,,"Attempted, couldn't land dynamic moves. Only attempted lower moves but couldn't stick.",,,V5
11/20/2022,Boulder,carver-climbing-club-cedar-slab,Cedar Slab,Carver Climbing Club,OR,Stump Boulders,Cedar,Mountain Project,V0-,4-,6,-,Flash,TRUE,Pads,,"Padless climb, nice and easy slab minus the choss.",,,V0-
11/20/2022,Boulder,carver-climbing-club-cedar-direct,Cedar Direct,Carver Climbing Club,OR,Stump Boulders,Cedar,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,Just tried it for fun. Can't pull hard enough on crimps.,,,V7
11/20/2022,Boulder,carver-climbing-club-virgin-connie-swail,Virgin Connie Swail,Carver Climbing Club,OR,Yosemite Boulders,Dragnet Boulder,Mountain Project,V5,6c,31,-,Attempt,FALSE,Pads,,"Attempted, wasn't sure if rail on far top left is on. Without the finish is very tricky.",,,V5
11/20/2022,Boulder,carver-climbing-club-button-hole,Button Hole,Carver Climbing Club,OR,Stump Boulders,Button Hole,Mountain Project,V2,5+,17,-,Sent,TRUE,Pads,,"Some red herring holds, took me a while to realize my beta was completely wrong.",,,V2
11/20/2022,Boulder,carver-climbing-club-optimus-prime,Optimus Prime,Carver Climbing Club,OR,Yosemite Boulders,Yosemite Boulder,Mountain Project,V3,6a,21,-,Flash,TRUE,Pads,,"Terrible warmup, campus in the crimp rails isn't bad, but not the way to start the day. Sloppy send.",,,V3
11/20/2022,Boulder,carver-climbing-club-emil-muzz,Emil Muzz,Carver Climbing Club,OR,Yosemite Boulders,Dragnet Boulder,Mountain Project,V2,5+,17,-,Sent,TRUE,Pads,,"Boulder felt great, but unsure if the holds out to the far right we're on. Bring some pads because the landing is rough.",,,V2
11/20/2022,Boulder,carver-climbing-club-the-kern-mantle,The Kern Mantle,Carver Climbing Club,OR,Bonsai Boulders,Mob Boulder,Mountain Project,V1,5,13,-,Flash,TRUE,Pads,,Good padless warmup. Slabby and holds are bomber.,,,V1
11/25/2022,Boulder,castle-rock-state-park-thee-classic,Thee Classic,Castle Rock State Park,CA,Indian Rock,Thee Classic,Mountain Project,V4,6b,25,-,Attempt,FALSE,Pads,,"Attempted. First jug isn't amazing, could throw to next hold, but didn't see holds out to the right. Would love some more pads.",,,V4
11/25/2022,Boulder,castle-rock-state-park-dark-side-of-the-moon,Dark Side of the Moon,Castle Rock State Park,CA,Indian Rock,Dark Side of the Moon,Mountain Project,V6,7a,38,-,Attempt,FALSE,Pads,,"Attempted, couldn't get first big move, and couldn't move past that much. Right hand slap looks terrifying.",,,V6
11/25/2022,Boulder,castle-rock-state-park-raw-honey,Raw Honey,Castle Rock State Park,CA,Indian Rock,Indian Cracks,Mountain Project,V2-3,5+,19,-,Sent,TRUE,Pads,,Sloper rail was fine this time! Just took a while to get to the jug at the top and balance out to get the best use of the sloper.,,,V2-3
11/25/2022,Boulder,castle-rock-state-park-honey-dipper,Honey Dipper,Castle Rock State Park,CA,Indian Rock,Indian Cracks,Mountain Project,V1+,5,14,-,Flash,TRUE,Pads,,"Fantastic warmup. Holds are solid, and the last bit is just some nice and easy slab to a very awkward top out through the tiny cave.",,,V1+
11/25/2022,Boulder,castle-rock-state-park-left-hand-indian-man,Left Hand Indian Man,Castle Rock State Park,CA,Indian Rock,Indian Man,Mountain Project,V4,6b,25,-,Sent,TRUE,Pads,,"My beta was a pain, using drop knees to go all the way out left, then dynamically grab for the crack. Took way longer than it should have with an awkward top out.",,,V4
11/25/2022,Boulder,castle-rock-state-park-right-hand-indian-man,Right Hand Indian Man,Castle Rock State Park,CA,Indian Rock Side,Lower Indian Rock,Mountain Project,V7-,7a+,41,-,Attempt,FALSE,Pads,1,Felt the holds and swore it off.,,,V7-
11/25/2022,Boulder,castle-rock-state-park-santa-cruz-dude,Santa Cruz Dude,Castle Rock State Park,CA,Indian Rock,Santa Cruz Dude,Mountain Project,V3-4,6a+,23,-,Sent,TRUE,Pads,,"Great to finally tick off, gave me a lot of trouble in the past due to lack of ability to pull the crimp. Thumb catch on right hand is essential and going up with left. Only keep right foot up.",,,V3-4
1/26/2023,Boulder,the-garden-climbing-the-siren,The Siren,The Garden Climbing,OR,Garden Main,Azain Boulder,Mountain Project,V5,6c,31,-,Attempt,FALSE,Pads,,"Attempted. Got to top of front face but bumped right hand to side on some wet moss and fell. Okay conditions, but fingertips of pinch were wet.",,,V5
1/26/2023,Boulder,the-garden-climbing-bitchin'-corners-sit,Bitchin' Corners Sit,The Garden Climbing,OR,Garden Main,Bitchin' Corners,Mountain Project,V6,7a,38,-,Attempt,FALSE,Pads,,Attempted. Connecting sit to stand with small sidepull gave me a lot of trouble with some nasty dry fires. Hoping to visit this again.,,,V6
1/26/2023,Boulder,the-garden-climbing-octernal,Octernal,The Garden Climbing,OR,Garden Main,Meth Lab Boulder,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,"Attempt. Connected V7 sit start to V5 stand. Beta involved right hand flake alternating to move up to the undercling. First move didn't give me much trouble, but matching end involved some heavy back flag to stop a barn door. Was happy to connect.",,,V7
1/30/2023,Route,eagles-rest-trailhead---upper-fourteen-days,Fourteen Days,Eagles Rest Trailhead - Upper,OR,Quarintine Wall,Quarintine Wall,Mountain Project,5.11a,6c,30,-,Attempt,FALSE,Bolts,,"Pumped but not limit. Very nice with lots of rests. Three small cruxes, each just beta intensive. Last crux gives me a lot of pump but felt great. Love the arete and slippers on the route.",,,5.11a
2/2/2023,Boulder,the-garden-climbing-austin-powers,Austin Powers,The Garden Climbing,OR,Garden Main,Mini-Me Boulder,Mountain Project,V5,6c,31,-,Attempt,FALSE,Pads,,"Attempted. Heard it was pretty gross and the first move proved that to be true. Knob and crimp were horrible, and arete proved to not be a jug rail. Not too stoked on the climb but might return later.",,,V5
2/2/2023,Boulder,the-garden-climbing-the-siren,The Siren,The Garden Climbing,OR,Garden Main,Azain Boulder,Mountain Project,V5,6c,31,-,Day Flash,TRUE,Pads,,"Day flash. Felt dial and conditions were improved, crux hold was dry this time. Glad I found the good holds for top out. Love the moves here, everything feels so delicate yet strong.",,,V5
2/2/2023,Boulder,the-garden-climbing-the-ear,The Ear,The Garden Climbing,OR,Garden Main,Fight Club Boulder,Mountain Project,V4,6b,25,-,Sent,TRUE,Pads,,"Could have sent on first go but didn't trust the mantle until a friend just went for it. Pretty nice with some static beta to bump up. Difference from last time was lower heel to rise then better heel to go all the way up, better at heel hooks and a shoe that doesn't make my heel pop out. Man I'm not a fan of this boulder's texture.",,,V4
2/2/2023,Boulder,"the-garden-climbing-the-good-v3-(left-side,-strong-side)","The Good V3 (Left Side, Strong Side)",The Garden Climbing,OR,Garden Main,The Good Boulder,Mountain Project,V3,6a,21,-,Sent,TRUE,Pads,,"Repeat, fell on first attempt with GoPro in mouth, no idea where feet or finish holds were. Unfortunate.",,,V3
2/2/2023,Boulder,the-garden-climbing-trust,Trust,The Garden Climbing,OR,Garden Main,Trust Boulder,Mountain Project,V2,5+,17,-,Sent,TRUE,Pads,,"Top felt pretty gross until I realized deeper out there was a juggy crack. End of session and pretty tired, but some nice footwork made the route static.",,,V2
2/9/2023,Route,eagles-rest-trailhead---upper-by-myself,By Myself,Eagles Rest Trailhead - Upper,OR,Quarintine Wall,Quarintine Wall,Mountain Project,5.11a,6c,30,-,Top Roped,FALSE,Bolts,,Top rope day flash after failing to lead Fourteen Days from bad mental. Rest and a good mental state. Plenty of good positions to rest from with some minor pump management. Great holds and interesting moves. Would like to figure out the bottom crux a little better to prepare for a lead go.,,,5.11a
2/9/2023,Route,eagles-rest-trailhead---upper-fourteen-days,Fourteen Days,Eagles Rest Trailhead - Upper,OR,Quarintine Wall,Quarintine Wall,Mountain Project,5.11a,6c,30,-,Attempt,FALSE,Bolts,,"Attempted. Got stuck around the first crux from bad mental. Needed to commit to left-hand side pulls and high foot to lift over, but got too pumped staying in a bad position.",,,5.11a
2/12/2023,Boulder,the-garden-climbing-the-locksmith,The Locksmith,The Garden Climbing,OR,Garden Main,Azain Boulder,Mountain Project,V4,6b,25,-,Attempt,FALSE,Pads,,"Attempted. Got through lower section to standing on heel with arete and hood right hand sidepull crimp. Too scared to move much higher but had a lot of pads. Lower section went with high feet and a left hand bump. Matching left is too hard to get the solid position before launching for the arete. Deep hold on arete is amazing but hard to find. Right cross to start, big moves, amazing route. Will be back.",,,V4
2/12/2023,Boulder,the-garden-climbing-the-siren,The Siren,The Garden Climbing,OR,Garden Main,Azain Boulder,Mountain Project,V5,6c,31,-,Day Flash,TRUE,Pads,,"Day send to show to others. Moves felt so smooth and nothing felt too difficult except trusting the top. Friction as great with a palm, and the pinch is as good as always. Couldn't figure out direct. Was told starts with left hand arete, bump right to sidepull.",,,V5
2/12/2023,Boulder,the-garden-climbing-octernal,Octernal,The Garden Climbing,OR,Garden Main,Meth Lab Boulder,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,"Attempted. From sit. Old beta wasn't working for me. First move felt find but right hand bump felt terrible or I didn't remember beta. Switched my beta to left hand bump all the way to the undercling by moving left foot and maintaining a flag with right. Last move still gave me trouble, but foot chip heavy back flag made it possible. Need a harder project session to continue but liking new beta.",,,V7
2/12/2023,Boulder,the-garden-climbing-the-ear,The Ear,The Garden Climbing,OR,Garden Main,Fight Club Boulder,Mountain Project,V4,6b,25,-,Attempt,FALSE,Pads,,Didn't pull over the top. Forgot about right hand thumb which helps with static reach to the top crimp.,,,V4
2/18/2023,Route,eagles-rest-trailhead---upper-somewhere-in-middle-america,Somewhere in Middle America,Eagles Rest Trailhead - Upper,OR,Dream Wall,Dream Wall,Mountain Project,5.10d,6b+,29,-,Hung,FALSE,Bolts,,"Attempt. Tried to lead the route twice, first was onsight, and couldn't find the good holds/moves. The second attempt hung a couple of times just uncomfortable with a move. The moves involved high feet and jugs mixed with alright holds.",,,5.10d
2/18/2023,Route,eagles-rest-trailhead---upper-shapes-and-colors,Shapes and Colors,Eagles Rest Trailhead - Upper,OR,Sun Deck,Sun Deck,Mountain Project,5.11a,6c,30,-,Hung,FALSE,Bolts,,"Stick clipped to the top to feel holds and set up a top rope. Wasn't able to finish the route in one go with the top rope, hung around. Fell around 7th clip. Tried a couple of times. Could see it going pretty well. Slab start with good holds and a small crux. Beta to follow. 1st Bolt: Climb up the slab on good holds. 2nd Bolt: Veer left, and back right onto an okay ledge, best held at the edge. 3rd Bolt: Good hold out left, then go straight up. 4th Bolt: Use the amazing side-pull flake to go sideways and press up to a high left foot. 5th Bolt: Two side pulls, double gaston to move right to shitty sloper texture, then move the left hand to right gaston. Move right back up to a good hold. 6th Bolt: Pinch high and left best held as left gaston, veer left, and then back right. 7th Bolt: Crux mantle, good hold on the right of the bulge, shoot out right to good black side-pull, then the big move to another black hold high up.",,,5.11a
2/19/2023,Boulder,the-garden-climbing-spray-against-the-undertow,Spray Against the Undertow,The Garden Climbing,OR,Garden Main,Undertow Boulder,Mountain Project,V6,7a,38,-,Attempt,FALSE,Pads,,"Attempt. The start is tricky with weirdly matched feet. Moving up arete is easy, but the boob slap is very painful. Dabbed on the move after making it.",,,V6
2/19/2023,Boulder,the-garden-climbing-undertow-sit-(rightside),Undertow Sit (Rightside),The Garden Climbing,OR,Garden Main,Undertow Boulder,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,Attempt. First holds are sharp and right hand leaves room for one finger deep and others on sharp edge. Feet are garbage and right slips with first move. Made first and dabbed on second.,,,V7
